district,state,population,male_population,female_population,literate_population
Nagaur,Rajasthan,3307743,1696325,1611418,1758624
Jodhpur,Rajasthan,3687165,1923928,1763237,2031532
Jaisalmer,Rajasthan,669919,361708,308211,308653
Barmer,Rajasthan,2603751,1369022,1234729,1188322
Akola,Maharashtra,1813906,932334,881572,1411281
Amravati,Maharashtra,2888445,1480768,1407677,2251875
Nanded,Maharashtra,3361292,1730075,1631217,2189425
Parbhani,Maharashtra,1836086,942870,893216,1157814
Jalna,Maharashtra,1959046,1011473,947573,1195523
Beed,Maharashtra,2585049,1349106,1235943,1718507
Latur,Maharashtra,2454196,1273140,1181056,1650672
Osmanabad,Maharashtra,1657576,861535,796041,1137810
Bagalkot,Karnataka,1889752,950111,939641,1113412
Bijapur,Karnataka,2177331,1111022,1066309,1248268
Bidar,Karnataka,1703300,870665,832635,1042673
Raichur,Karnataka,1928812,964511,964301,979769
Gulbarga,Karnataka,2566326,1301755,1264571,1427368
